iata,icao,airport_id
HFN,BIHN,13
HGU,AYMH,3
SFJ,BGSF,9
GOH,BGGH,8
,CYAV,22
LAE,AYNZ,4
YAZ,CYAZ,25
GKA,AYGA,1
YAY,CYAY,24
YBC,CYBC,27
YAM,CYAM,21
YBB,CYBB,26
YBG,CYBG,28
YBL,CYBL,30
YBR,CYBR,31
YBK,CYBK,29
VEY,BIVM,20
YCB,CYCB,32
RKV,BIRK,18
IFJ,BIIS,15
THU,BGTL,10
POM,AYPY,5
PFJ,BIPA,17
YCL,CYCL,36
YCG,CYCG,34
YCO,CYCO,37
YCH,CYCH,35
WWK,AYWK,6
YCT,CYCT,38
SIJ,BISI,19
YDA,CYDA,42
KEF,BIKF,16
YCY,CYCY,40
,CYAW,23
EGS,BIEG,12
YZS,CYZS,41
HZK,BIHU,14
YEG,CYEG,49
MAG,AYMD,2
YDQ,CYDQ,48
YCD,CYCD,33
AEY,BIAR,11
YDB,CYDB,43
YEK,CYEK,50
UAK,BGBW,7
YEU,CYEU,53
YEN,CYEN,51
YFE,CYFE,57
YFC,CYFC,56
YGK,CYGK,61
YET,CYET,52
YFS,CYFS,60
YGQ,CYGQ,64
YGL,CYGL,62
YCW,CYCW,39
YGP,CYGP,63
YHD,CYHD,67
YHI,CYHI,68
YDL,CYDL,46
YHB,CYHB,66
YEV,CYEV,54
YHK,CYHK,69
YGR,CYGR,65
,CYDC,44
YHU,CYHU,71
YIO,CYIO,75
YDN,CYDN,47
YHM,CYHM,70
YFO,CYFO,58
YFR,CYFR,59
YFB,CYFB,55
YHZ,CYHZ,73
YKZ,CYKZ,82
YKY,CYKY,81
YLJ,CYLJ,84
YLT,CYLT,86
YDF,CYDF,45
YJT,CYJT,77
YLW,CYLW,87
YLD,CYLD,83
YKL,CYKL,80
YMA,CYMA,88
YHY,CYHY,72
YLL,CYLL,85
YND,CYND,95
YNA,CYNA,94
YMJ,CYMJ,89
YNM,CYNM,96
YMX,CYMX,93
YMW,CYMW,92
YJN,CYJN,76
YMM,CYMM,90
YKF,CYKF,79
YMO,CYMO,91
YPA,CYPA,101
YOJ,CYOJ,99
YPE,CYPE,102
YOD,CYOD,98
,CYPK,104
YPG,CYPG,103
YOW,CYOW,100
YPN,CYPN,106
YPL,CYPL,105
YPQ,CYPQ,107
YPR,CYPR,108
YQF,CYQF,112
