source_airport_id,destination_airport_id,distance,icao,iata
2965,2990,1508.5048481870178,ARD,2B
2966,2990,1041.5978099678719,ARD,2B
2966,2962,448.6643547701081,ARD,2B
2968,2990,771.3671738824859,ARD,2B
2968,4078,1340.1232706064175,ARD,2B
4029,2990,716.4468878233105,ARD,2B
4029,6969,893.3772812079725,ARD,2B
4029,6160,952.4924978604021,ARD,2B
6156,2952,1173.187469011049,ARD,2B
6156,2990,1009.3767322967124,ARD,2B
2922,6969,1687.3048053832931,ARD,2B
2952,6156,1173.187469011049,ARD,2B
2990,2965,1508.5048481870178,ARD,2B
2990,2966,1041.5978099678719,ARD,2B
2990,2968,771.3671738824859,ARD,2B
2990,4029,716.4468878233105,ARD,2B
2990,6156,1009.3767322967124,ARD,2B
2990,2948,1218.2006491696777,ARD,2B
2990,2975,724.3295156758844,ARD,2B
2948,2990,1218.2006491696777,ARD,2B
2948,6969,1374.4163929443316,ARD,2B
2948,6160,1465.688516337521,ARD,2B
2962,2966,448.6643547701081,ARD,2B
6969,4029,893.3772812079725,ARD,2B
6969,2922,1687.3048053832931,ARD,2B
6969,2948,1374.4163929443316,ARD,2B
6969,2975,555.3215348081739,ARD,2B
2972,2975,1013.7311830889691,ARD,2B
2972,6160,1558.9071728159995,ARD,2B
4364,2975,1326.087932858636,ARD,2B
4078,2968,1340.1232706064175,ARD,2B
4078,2975,1371.8243517945687,ARD,2B
2975,2990,724.3295156758844,ARD,2B
2975,6969,555.3215348081739,ARD,2B
2975,2972,1013.7311830889691,ARD,2B
2975,4364,1326.087932858636,ARD,2B
2975,4078,1371.8243517945687,ARD,2B
6160,4029,952.4924978604021,ARD,2B
6160,2948,1465.688516337521,ARD,2B
6160,2972,1558.9071728159995,ARD,2B
2936,2937,488.88383934838134,CRG,2G
2936,4078,1200.6957514320436,CRG,2G
2968,4078,1340.1232706064175,CRG,2G
2935,2937,609.321347909686,CRG,2G
2937,2936,488.88383934838134,CRG,2G
2937,2935,609.321347909686,CRG,2G
2937,8944,883.1696714546865,CRG,2G
2937,4078,1460.4500598571508,CRG,2G
2937,6924,518.0629721832569,CRG,2G
2937,9026,1135.8023222779266,CRG,2G
2937,2923,1862.0879984685128,CRG,2G
2925,4078,1969.6805116690841,CRG,2G
8944,2937,883.1696714546865,CRG,2G
4078,2936,1200.6957514320436,CRG,2G
4078,2968,1340.1232706064175,CRG,2G
4078,2937,1460.4500598571508,CRG,2G
6924,2937,518.0629721832569,CRG,2G
9026,2937,1135.8023222779266,CRG,2G
2923,2937,1862.0879984685128,CRG,2G
2786,2789,340.3594932732204,,2I
2812,2789,586.5609755402604,,2I
2812,2808,311.2810836795367,,2I
6067,2789,258.44379870037096,,2I
2801,2781,530.1411290402565,,2I
2801,2806,455.3653468952186,,2I
2789,2786,340.3594932732204,,2I
2789,2812,586.5609755402604,,2I
2789,6067,258.44379870037096,,2I
2789,2781,491.8907386560624,,2I
2789,2806,619.0917998531298,,2I
2781,2801,530.1411290402565,,2I
2781,2789,491.8907386560624,,2I
2781,2806,287.61073210666564,,2I
2808,2812,311.2810836795367,,2I
2806,2801,455.3653468952186,,2I
2806,2789,619.0917998531298,,2I
2806,2781,287.61073210666564,,2I
253,247,658.1481543142293,VBW,2J
253,246,832.8563710833873,VBW,2J
248,246,765.5958407150179,VBW,2J
1044,253,922.4236771179574,VBW,2J
1044,1084,1060.753710796063,VBW,2J
1044,246,700.0539503755884,VBW,2J
247,253,658.1481543142293,VBW,2J
247,246,334.6519546720425,VBW,2J
245,298,126.8287833812862,VBW,2J
245,246,792.7940321409509,VBW,2J
1084,1044,1060.753710796063,VBW,2J
1084,246,1748.9846747182628,VBW,2J
298,246,752.8322766079468,VBW,2J
280,246,420.22431894560214,VBW,2J
246,253,832.8563710833873,VBW,2J
246,248,765.5958407150179,VBW,2J
246,1044,700.0539503755884,VBW,2J
246,247,334.6519546720425,VBW,2J
246,245,792.7940321409509,VBW,2J
246,1084,1748.9846747182628,VBW,2J
246,298,752.8322766079468,VBW,2J
246,280,420.22431894560214,VBW,2J
2709,2673,995.0443692397744,GLG,2K
2709,2688,713.0195682170651,GLG,2K
2715,2673,744.6670907044901,GLG,2K
2673,2709,995.0443692397744,GLG,2K
2673,2715,744.6670907044901,GLG,2K
2673,6045,1092.0070150987476,GLG,2K
2673,2688,282.5310157869782,GLG,2K
2670,2688,157.03962462282686,GLG,2K
6045,2673,1092.0070150987476,GLG,2K
2688,2709,713.0195682170651,GLG,2K
2688,2673,282.5310157869782,GLG,2K
2688,2670,157.03962462282686,GLG,2K
1506,1678,1065.927416826811,OAW,2L
1264,1678,771.8293666189571,OAW,2L
490,1678,923.7894174886969,OAW,2L
1665,1054,2774.202824864102,OAW,2L
1197,1678,2507.9666441205804,OAW,2L
1054,1678,3004.520982546853,OAW,2L
4197,1678,3341.160594795777,OAW,2L
1056,1665,2835.4986928347353,OAW,2L
1678,1506,1065.927416826811,OAW,2L
1678,1264,771.8293666189571,OAW,2L
1678,490,923.7894174886969,OAW,2L
1678,1197,2507.9666441205804,OAW,2L
1678,1054,3004.520982546853,OAW,2L
1678,4197,3341.160594795777,OAW,2L
730,719,118.99150039552298,NTJ,2N
737,715,844.9163623723814,NTJ,2N
